asset1,asset2,correlation,abs_correlation,category1,category2,pair_type
EEM,IEMG,0.9972682270935506,0.9972682270935506,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
SPY,VTI,0.9963657471103425,0.9963657471103425,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
SPEM,VWO,0.996203647706293,0.996203647706293,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
SCHE,VWO,0.9953228270092005,0.9953228270092005,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
SCHE,SPEM,0.9942171204285721,0.9942171204285721,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
EFA,VEA,0.9940925064461763,0.9940925064461763,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
BNO,USO,0.9939882599642853,0.9939882599642853,Commodities_Energy,Commodities_Energy,Non-EM (LOW PRIORITY)
EEM,SCHE,0.9890318459008379,0.9890318459008379,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
IEMG,SCHE,0.9882625251107781,0.9882625251107781,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
IEMG,VWO,0.9882446059924119,0.9882446059924119,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
EEM,VWO,0.9881437048762994,0.9881437048762994,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
IEMG,SPEM,0.9878388024849528,0.9878388024849528,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
EEM,SPEM,0.9874722491936355,0.9874722491936355,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
FXI,MCHI,0.9838602570592049,0.9838602570592049,EM_Country_ETFs,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
GDX,GDXJ,0.9792050982794458,0.9792050982794458,Commodities_Metals,Commodities_Metals,Non-EM (LOW PRIORITY)
VT,VTI,0.9740017883735189,0.9740017883735189,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
EPI,INDA,0.972887076970664,0.972887076970664,EM_Country_ETFs,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
QQQ,XLK,0.9712842737986912,0.9712842737986912,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
SPY,VT,0.9673320892158191,0.9673320892158191,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
INDA,INDY,0.9654139994979658,0.9654139994979658,EM_Country_ETFs,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
FXE,UUP,-0.964442630790291,0.964442630790291,Currencies,Currencies,Non-EM (LOW PRIORITY)
QQQ,SPY,0.9592509298223844,0.9592509298223844,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
DBO,USO,0.9578217154423586,0.9578217154423586,Commodities_Energy,Commodities_Energy,Non-EM (LOW PRIORITY)
BNO,DBO,0.9577222130638194,0.9577222130638194,Commodities_Energy,Commodities_Energy,Non-EM (LOW PRIORITY)
KWEB,MCHI,0.9548978396113341,0.9548978396113341,EM_Country_ETFs,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
QQQ,VTI,0.951424227742794,0.951424227742794,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
EMB,PCY,0.949471608721877,0.949471608721877,Bonds,Bonds,Non-EM (LOW PRIORITY)
XLE,XOP,0.9429031514222528,0.9429031514222528,Commodities_Energy,Commodities_Energy,Non-EM (LOW PRIORITY)
FXI,KWEB,0.9426955056753065,0.9426955056753065,EM_Country_ETFs,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
EPI,INDY,0.9339083711170636,0.9339083711170636,EM_Country_ETFs,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
IEF,TLT,0.9258147171726067,0.9258147171726067,Bonds,Bonds,Non-EM (LOW PRIORITY)
EEMV,SPEM,0.9230750962874226,0.9230750962874226,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
EEMV,IEMG,0.9230640964388424,0.9230640964388424,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
DEM,IEMG,0.9225894602351743,0.9225894602351743,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
DEM,SPEM,0.921484136553894,0.921484136553894,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
EEM,EEMV,0.9211056751301537,0.9211056751301537,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
EEMV,VWO,0.921016693201919,0.921016693201919,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
SPY,XLK,0.9208524457317536,0.9208524457317536,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
QQQ,VT,0.9202142081442867,0.9202142081442867,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
DEM,EEM,0.9197257939723058,0.9197257939723058,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
DEM,VWO,0.9194104377997914,0.9194104377997914,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
EEMV,SCHE,0.9184659937379386,0.9184659937379386,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
GLD,GLTR,0.9167181704166342,0.9167181704166342,Commodities_Metals,Commodities_Metals,Non-EM (LOW PRIORITY)
DEM,SCHE,0.9155550034063373,0.9155550034063373,EM_Broad,EM_Broad,EM-EM (HIGH PRIORITY)
LQD,TLT,0.9141366007586976,0.9141366007586976,Bonds,Bonds,Non-EM (LOW PRIORITY)
COPX,PICK,0.913149523329352,0.913149523329352,Commodities_Metals,Commodities_Metals,Non-EM (LOW PRIORITY)
VTI,XLK,0.911136334020185,0.911136334020185,Developed_Indices,Developed_Sectors,Non-EM (LOW PRIORITY)
DIA,VTI,0.9072000972506316,0.9072000972506316,Developed_Indices,Developed_Indices,Non-EM (LOW PRIORITY)
EMQQ,KWEB,0.9050011526170567,0.9050011526170567,EM_Sector,EM_Country_ETFs,EM-EM (HIGH PRIORITY)
IEMG,KEMX,0.9042522485015838,0.9042522485015838,EM_Broad,EM_Sector,EM-EM (HIGH PRIORITY)
